LJ033-0060|Marina Oswald testified that at that time, quote, My heart dropped.|Marina Oswald testified that at that time, quote, My heart dropped.
LJ035-0006|are consistent with his having been at the window at 12:30 p.m.|are consistent with his having been at the window at twelve:thirty p.m.
LJ035-0007|The encounter in the lunchroom.|The encounter in the lunchroom.
LJ035-0008|The first person to see Oswald after the assassination was Patrolman M. L. Baker of the Dallas Police Department.|The first person to see Oswald after the assassination was Patrolman M. L. Baker of the Dallas Police Department.
LJ035-0009|Baker was riding a two-wheeled motorcycle behind the last press car of the motorcade.|Baker was riding a two-wheeled motorcycle behind the last press car of the motorcade.
LJ035-0010|As he turned the corner from Main onto Houston at a speed of about 5 to 10 miles per hour,|As he turned the corner from Main onto Houston at a speed of about five to ten miles per hour,
LJ035-0011|a strong wind blowing from the north almost unseated him.|a strong wind blowing from the north almost unseated him.
LJ035-0012|At about this time he heard the first shot.|At about this time he heard the first shot.
LJ035-0013|Having recently heard the sounds of rifles while on a hunting trip, Baker recognized the shots as that of a high-powered rifle; Quote,|Having recently heard the sounds of rifles while on a hunting trip, Baker recognized the shots as that of a high-powered rifle; Quote,
LJ035-0014|it sounded high and I immediately kind of looked up,|it sounded high and I immediately kind of looked up,
LJ035-0015|and I had a feeling that it came from the building, either right in front of me [the Depository Building] or of the one across to the right of it, end quote,|and I had a feeling that it came from the building, either right in front of me [the Depository Building] or of the one across to the right of it, end quote,
LJ035-0016|He saw pigeons flutter upward. He was not certain, quote, but I am pretty sure they came from the building right on the northwest corner, end quote.|He saw pigeons flutter upward. He was not certain, quote, but I am pretty sure they came from the building right on the northwest corner, end quote.
LJ035-0017|He heard two more shots spaced, quote, pretty well even to me.|He heard two more shots spaced, quote, pretty well even to me.
LJ035-0018|end quote, After the third shot, he, quote, revved that motorcycle up, end quote,|end quote, After the third shot, he, quote, revved that motorcycle up, end quote,
LJ035-0019|drove to the northwest corner of Elm and Houston, and parked approximately 10 feet from the traffic signal.|drove to the northwest corner of Elm and Houston, and parked approximately ten feet from the traffic signal.
LJ035-0020|As he was parking he noted that people were, quote, falling, and they were rolling around down there grabbing their children, end quote, and rushing about.|As he was parking he noted that people were, quote, falling, and they were rolling around down there grabbing their children, end quote, and rushing about.
LJ035-0021|A woman screamed, quote, Oh, they have shot that man, they have shot that man, end quote.|A woman screamed, quote, Oh, they have shot that man, they have shot that man, end quote.
LJ035-0022|Baker, quote, had it in mind that the shots came from the top of this building here, end quote, so he ran straight to the entrance of the Depository Building.|Baker, quote, had it in mind that the shots came from the top of this building here, end quote, so he ran straight to the entrance of the Depository Building.
LJ035-0023|Baker testified that he entered the lobby of the building and, quote, spoke out and asked where the stairs or elevator was|Baker testified that he entered the lobby of the building and, quote, spoke out and asked where the stairs or elevator was
LJ035-0024|and this man, Mr. Truly, spoke up and says, it seems to me like he says,|and this man, Mr. Truly, spoke up and says, it seems to me like he says,
LJ035-0025|I am a building manager. Follow me, officer, and I will show you, end quote.|I am a building manager. Follow me, officer, and I will show you, end quote.
LJ035-0026|Baker and building superintendent Roy Truly went through a second set of doors and stopped at a swinging door where Baker bumped into Truly's back.|Baker and building superintendent Roy Truly went through a second set of doors and stopped at a swinging door where Baker bumped into Truly's back.
LJ035-0027|They went through the swinging door and continued at, quote, a good trot, end quote,|They went through the swinging door and continued at, quote, a good trot, end quote,
LJ035-0028|to the northwest corner of the floor where Truly hoped to find one of the two freight elevators.|to the northwest corner of the floor where Truly hoped to find one of the two freight elevators.
LJ035-0029|Neither elevator was there.|Neither elevator was there.
LJ035-0030|Truly pushed the button for the west elevator which operates automatically if the gate is closed.|Truly pushed the button for the west elevator which operates automatically if the gate is closed.
LJ035-0031|He shouted twice, quote, Turn loose the elevator, end quote,|He shouted twice, quote, Turn loose the elevator, end quote,
LJ035-0032|When the elevator failed to come, Baker said, quote, let's take the stairs, end quote, and he followed Truly up the stairway, which is to the west of the elevator.|When the elevator failed to come, Baker said, quote, let's take the stairs, end quote, and he followed Truly up the stairway, which is to the west of the elevator.
LJ035-0033|The stairway is located in the northwest corner of the Depository Building.|The stairway is located in the northwest corner of the Depository Building.
LJ035-0034|The stairs from one floor to the next are "L-shaped," with both legs of the "L" approximately the same length.|The stairs from one floor to the next are "L-shaped," with both legs of the "L" approximately the same length.
LJ035-0035|Because the stairway itself is enclosed, neither Baker nor Truly could see anything on the second-floor hallway until they reached the landing at the top of the stairs.|Because the stairway itself is enclosed, neither Baker nor Truly could see anything on the second-floor hallway until they reached the landing at the top of the stairs.
LJ035-0036|On the second-floor landing there is a small open area with a door at the east end.|On the second-floor landing there is a small open area with a door at the east end.
LJ035-0037|This door leads into a small vestibule, and another door leads from the vestibule into the second-floor lunchroom.|This door leads into a small vestibule, and another door leads from the vestibule into the second-floor lunchroom.
LJ035-0038|The lunchroom door is usually open, but the first door is kept shut by a closing mechanism on the door.|The lunchroom door is usually open, but the first door is kept shut by a closing mechanism on the door.
LJ035-0039|This vestibule door is solid except for a small glass window in the upper part of the door.|This vestibule door is solid except for a small glass window in the upper part of the door.
LJ035-0040|As Baker reached the second floor, he was about 20 feet from the vestibule door. He intended to continue around to his left toward the stairway going up|As Baker reached the second floor, he was about twenty feet from the vestibule door. He intended to continue around to his left toward the stairway going up
LJ035-0041|but through the window in the door he caught a fleeting glimpse of a man walking in the vestibule toward the lunchroom.|but through the window in the door he caught a fleeting glimpse of a man walking in the vestibule toward the lunchroom.
LJ035-0042|Since the vestibule door is only a few feet from the lunchroom door, the man must have entered the vestibule only a second or two before Baker arrived at the top of the stairwell.|Since the vestibule door is only a few feet from the lunchroom door, the man must have entered the vestibule only a second or two before Baker arrived at the top of the stairwell.
LJ035-0043|Yet he must have entered the vestibule door before Truly reached the top of the stairwell, since Truly did not see him.|Yet he must have entered the vestibule door before Truly reached the top of the stairwell, since Truly did not see him.
LJ035-0044|If the man had passed from the vestibule into the lunchroom, Baker could not have seen him.|If the man had passed from the vestibule into the lunchroom, Baker could not have seen him.
LJ035-0045|Baker said, quote, He [Truly] had already started around the bend to come to the next elevator going up,|Baker said, quote, He [Truly] had already started around the bend to come to the next elevator going up,
LJ035-0046|I was coming out this one on the second floor, and I don't know, I was kind of sweeping this area as I come up, I was looking from right to left|I was coming out this one on the second floor, and I don't know, I was kind of sweeping this area as I come up, I was looking from right to left
LJ035-0047|and as I got to this door here I caught a glimpse of this man, just, you know, a sudden glimpse. And it looked to me like he was going away from me.|and as I got to this door here I caught a glimpse of this man, just, you know, a sudden glimpse. And it looked to me like he was going away from me.
LJ035-0048|I can't say whether he had gone on through that door [the lunchroom door] or not.|I can't say whether he had gone on through that door [the lunchroom door] or not.
LJ035-0049|All I did was catch a glance at him, and evidently he was -- this door might have been, you know, closing and almost shut at that time, end quote.|All I did was catch a glance at him, and evidently he was -- this door might have been, you know, closing and almost shut at that time, end quote.
LJ035-0050|With his revolver drawn, Baker opened the vestibule door and ran into the vestibule.|With his revolver drawn, Baker opened the vestibule door and ran into the vestibule.
LJ035-0051|He saw a man walking away from him in the lunchroom.|He saw a man walking away from him in the lunchroom.
LJ035-0052|Baker stopped at the door of the lunchroom and commanded, quote, Come here, end quote.|Baker stopped at the door of the lunchroom and commanded, quote, Come here, end quote.
LJ035-0053|The man turned and walked back toward Baker.|The man turned and walked back toward Baker.
LJ035-0054|He had been proceeding toward the rear of the lunchroom.|He had been proceeding toward the rear of the lunchroom.
LJ035-0055|Along a side wall of the lunchroom was a soft drink rending machine, but at that time the man had nothing in his hands.|Along a side wall of the lunchroom was a soft drink rending machine, but at that time the man had nothing in his hands.
LJ035-0056|Meanwhile, Truly had run up several steps toward the third floor.|Meanwhile, Truly had run up several steps toward the third floor.
LJ035-0057|Missing Baker, he came back to find the officer in the doorway to the lunchroom facing Lee Harvey Oswald.|Missing Baker, he came back to find the officer in the doorway to the lunchroom facing Lee Harvey Oswald.
LJ035-0058|Baker turned to Truly and said, quote, Do you know this man, does he work here? end quote.|Baker turned to Truly and said, quote, Do you know this man, does he work here? end quote.
LJ035-0059|Truly replied, "Yes."|Truly replied, "Yes."
LJ035-0060|Baker stated later that the man did not seem to be out of breath; he seemed calm. Quote, He never did say a word or nothing.|Baker stated later that the man did not seem to be out of breath; he seemed calm. Quote, He never did say a word or nothing.
LJ035-0061|In fact, he didn't change his expression one bit, end quote.|In fact, he didn't change his expression one bit, end quote.
LJ035-0062|Truly said of Oswald: quote, He didn't seem to be excited or overly afraid or anything. He might have been a bit startled, like I might have been if somebody confronted me.|Truly said of Oswald: quote, He didn't seem to be excited or overly afraid or anything. He might have been a bit startled, like I might have been if somebody confronted me.
LJ035-0063|But I cannot recall any change in expression of any kind on his face, end quote.|But I cannot recall any change in expression of any kind on his face, end quote.
LJ035-0064|Truly thought that the officer's gun at that time appeared to be almost touching the middle portion of Oswald's body.|Truly thought that the officer's gun at that time appeared to be almost touching the middle portion of Oswald's body.
LJ035-0065|Truly also noted at this time that Oswald's hands were empty.|Truly also noted at this time that Oswald's hands were empty.
LJ035-0066|In an effort to determine whether Oswald could have descended to the lunchroom|In an effort to determine whether Oswald could have descended to the lunchroom
LJ035-0067|from the sixth floor by the time Baker and Truly arrived, Commission counsel asked Baker and Truly to repeat their movements from the time of the shot|from the sixth floor by the time Baker and Truly arrived, Commission counsel asked Baker and Truly to repeat their movements from the time of the shot
LJ035-0068|until Baker came upon Oswald in the lunchroom.|until Baker came upon Oswald in the lunchroom.
LJ035-0069|Baker placed himself on a motorcycle about 200 feet from the corner of Elm and Houston Streets where he said he heard the shots.|Baker placed himself on a motorcycle about two hundred feet from the corner of Elm and Houston Streets where he said he heard the shots.
LJ035-0070|Truly stood in front of the building.|Truly stood in front of the building.
LJ035-0071|At a given signal, they reenacted the event. Baker's movements were timed with a stopwatch.|At a given signal, they reenacted the event. Baker's movements were timed with a stopwatch.
LJ035-0072|On the first test, the elapsed time between the simulated first shot and Baker's arrival on the second-floor stair landing|On the first test, the elapsed time between the simulated first shot and Baker's arrival on the second-floor stair landing
LJ035-0073|was 1 minute and 30 seconds.|was one minute and thirty seconds.
LJ035-0074|The second test run required 1 minute and 15 seconds.|The second test run required one minute and fifteen seconds.
LJ035-0075|A test was also conducted to determine the time required to walk from the southeast corner of the sixth floor to the second-floor lunchroom by stairway.|A test was also conducted to determine the time required to walk from the southeast corner of the sixth floor to the second-floor lunchroom by stairway.
LJ035-0076|Special Agent John Howlett of the Secret Service carried a rifle from the southeast corner of the sixth floor along the east aisle to the northeast corner.|Special Agent John Howlett of the Secret Service carried a rifle from the southeast corner of the sixth floor along the east aisle to the northeast corner.
LJ035-0077|He placed the rifle on the floor near the site where Oswald's rifle was actually found after the shooting.|He placed the rifle on the floor near the site where Oswald's rifle was actually found after the shooting.
LJ035-0078|Then Howlett walked down the stairway to the second-floor landing and entered the lunchroom.|Then Howlett walked down the stairway to the second-floor landing and entered the lunchroom.
LJ035-0079|The first test, run at normal walking pace, required 1 minute, 18 seconds;|The first test, run at normal walking pace, required one minute, eighteen seconds;
LJ035-0080|the second test, at a "fast walk" took 1 minute, 14 seconds.|the second test, at a "fast walk" took one minute, fourteen seconds.
LJ035-0081|The second test followed immediately after the first.|The second test followed immediately after the first.
LJ035-0082|The only interval was the time necessary to ride in the elevator from the second to the sixth floor and walk back to the southeast corner.|The only interval was the time necessary to ride in the elevator from the second to the sixth floor and walk back to the southeast corner.
LJ035-0083|Howlett was not short winded at the end of either test run.|Howlett was not short winded at the end of either test run.
LJ035-0084|The minimum time required by Baker to park his motorcycle and reach the second-floor lunchroom was within 3 seconds of the time needed to walk|The minimum time required by Baker to park his motorcycle and reach the second-floor lunchroom was within three seconds of the time needed to walk
LJ035-0085|from the southeast corner of the sixth floor down the stairway to the lunchroom.|from the southeast corner of the sixth floor down the stairway to the lunchroom.
LJ035-0086|The time actually required for Baker and Truly to reach the second floor on November 22 was probably longer than in the test runs. For example,|The time actually required for Baker and Truly to reach the second floor on November twenty-two was probably longer than in the test runs. For example,
LJ035-0087|Baker required 15 seconds after the simulated shot to ride his motorcycle 180 to 200 feet,|Baker required fifteen seconds after the simulated shot to ride his motorcycle one hundred eighty to two hundred feet,
LJ035-0088|park it, and run 45 feet to the building.|park it, and run forty-five feet to the building.
LJ035-0089|No allowance was made for the special conditions which existed on the day of the assassination|No allowance was made for the special conditions which existed on the day of the assassination
LJ035-0090|possible delayed reaction to the shot, jostling with the crowd of people on the steps and scanning the area along Elm Street and the parkway.|possible delayed reaction to the shot, jostling with the crowd of people on the steps and scanning the area along Elm Street and the parkway.
LJ035-0091|Baker said, quote, We simulated the shots and by the time we got there, we did everything that I did that day,|Baker said, quote, We simulated the shots and by the time we got there, we did everything that I did that day,
LJ035-0092|and this would be the minimum, because I am sure that I, you know, it took me a little longer, end quote,|and this would be the minimum, because I am sure that I, you know, it took me a little longer, end quote,
LJ035-0093|On the basis of this time test, therefore,|On the basis of this time test, therefore,
LJ035-0094|the Commission concluded that Oswald could have fired the shots and still have been present in the second-floor lunchroom when seen by Baker and Truly.|the Commission concluded that Oswald could have fired the shots and still have been present in the second-floor lunchroom when seen by Baker and Truly.
LJ035-0095|That Oswald descended by stairway from the sixth floor to the second-floor lunchroom|That Oswald descended by stairway from the sixth floor to the second-floor lunchroom
LJ035-0096|is consistent with the movements of the two elevators, which would have provided the other possible means of descent.|is consistent with the movements of the two elevators, which would have provided the other possible means of descent.
LJ035-0097|When Truly, accompanied by Baker, ran to the rear of the first floor,|When Truly, accompanied by Baker, ran to the rear of the first floor,
LJ035-0098|he was certain that both elevators, which occupy the same shaft, were on the fifth floor.|he was certain that both elevators, which occupy the same shaft, were on the fifth floor.
LJ035-0099|Baker, not realizing that there were two elevators, thought that only one elevator was in the shaft and that it was two or three floors above the second floor.|Baker, not realizing that there were two elevators, thought that only one elevator was in the shaft and that it was two or three floors above the second floor.
LJ035-0100|In the few seconds which elapsed while Baker and Truly ran from the first to the second floor,|In the few seconds which elapsed while Baker and Truly ran from the first to the second floor,
LJ035-0101|neither of these slow elevators could have descended from the fifth to the second floor. Furthermore, no elevator was at the second floor when they arrived there.|neither of these slow elevators could have descended from the fifth to the second floor. Furthermore, no elevator was at the second floor when they arrived there.
LJ035-0102|Truly and Baker continued up the stairs after the encounter with Oswald in the lunchroom.|Truly and Baker continued up the stairs after the encounter with Oswald in the lunchroom.
LJ035-0103|There was no elevator on the third or fourth floor.|There was no elevator on the third or fourth floor.
LJ035-0104|The east elevator was on the fifth floor when they arrived; the west elevator was not.|The east elevator was on the fifth floor when they arrived; the west elevator was not.
LJ035-0105|They took the east elevator to the seventh floor and ran up a stairway to the roof where they searched for several minutes.|They took the east elevator to the seventh floor and ran up a stairway to the roof where they searched for several minutes.
LJ035-0106|Jack Dougherty, an employee working on the fifth floor,|Jack Dougherty, an employee working on the fifth floor,
LJ035-0107|testified that he took the west elevator to the first floor after hearing a noise which sounded like a backfire.|testified that he took the west elevator to the first floor after hearing a noise which sounded like a backfire.
LJ035-0108|Eddie Piper, the janitor, told Dougherty that the President had been shot,|Eddie Piper, the janitor, told Dougherty that the President had been shot,
LJ035-0109|but in his testimony Piper did not mention either seeing or talking with Dougherty during these moments of excitement.|but in his testimony Piper did not mention either seeing or talking with Dougherty during these moments of excitement.
LJ035-0110|Both Dougherty and Piper were confused witnesses. They had no exact memory of the events of that afternoon.|Both Dougherty and Piper were confused witnesses. They had no exact memory of the events of that afternoon.
LJ035-0111|Truly was probably correct in stating that the west elevator was on the fifth floor when he looked up the elevator shaft from the first floor.|Truly was probably correct in stating that the west elevator was on the fifth floor when he looked up the elevator shaft from the first floor.
LJ035-0112|The west elevator was not on the fifth floor when Baker and Truly reached that floor,|The west elevator was not on the fifth floor when Baker and Truly reached that floor,
LJ035-0113|probably because Jack Dougherty took it to the first floor while Baker and Truly were running up the stairs or in the lunchroom with Oswald.|probably because Jack Dougherty took it to the first floor while Baker and Truly were running up the stairs or in the lunchroom with Oswald.
LJ035-0114|Neither elevator could have been used by Oswald as a means of descent.|Neither elevator could have been used by Oswald as a means of descent.
LJ035-0115|Oswald's use of the stairway is consistent with the testimony of other employees in the building.|Oswald's use of the stairway is consistent with the testimony of other employees in the building.
LJ035-0116|Three employees -- James Jarman, Jr.,|Three employees -- James Jarman, Jr.,
LJ035-0117|Harold Norman, and Bonnie Ray Williams -- were watching the parade from the fifth floor, directly below the window from which the shots were fired.|Harold Norman, and Bonnie Ray Williams -- were watching the parade from the fifth floor, directly below the window from which the shots were fired.
LJ035-0118|They rushed to the west windows after the shots were fired and remained there|They rushed to the west windows after the shots were fired and remained there
LJ035-0119|until after they saw Patrolman Baker's white helmet on the fifth floor moving toward the elevator.|until after they saw Patrolman Baker's white helmet on the fifth floor moving toward the elevator.
LJ035-0120|While they were at the west windows their view of the stairwell was completely blocked by shelves and boxes.|While they were at the west windows their view of the stairwell was completely blocked by shelves and boxes.
LJ035-0121|This is the period during which Oswald would have descended the stairs. In all likelihood|This is the period during which Oswald would have descended the stairs. In all likelihood
LJ035-0122|Dougherty took the elevator down from the fifth floor after Jarman, Norman, and Williams ran to the west windows and were deciding what to do.|Dougherty took the elevator down from the fifth floor after Jarman, Norman, and Williams ran to the west windows and were deciding what to do.
LJ035-0123|None of these three men saw Dougherty, probably because of the anxiety of the moment and because of the books which may have blocked the view.|None of these three men saw Dougherty, probably because of the anxiety of the moment and because of the books which may have blocked the view.
LJ035-0124|Neither Jarman, Norman, Williams, or Dougherty saw Oswald.|Neither Jarman, Norman, Williams, or Dougherty saw Oswald.
LJ035-0125|Victoria Adams, who worked on the fourth floor of the Depository Building,|Victoria Adams, who worked on the fourth floor of the Depository Building,
LJ035-0126|claimed that within about 1 minute following the shots she ran from a window on the south side of the fourth floor,|claimed that within about one minute following the shots she ran from a window on the south side of the fourth floor,
LJ035-0127|down the rear stairs to the first floor, where she encountered two Depository employees -- William Shelley and Billy Lovelady.|down the rear stairs to the first floor, where she encountered two Depository employees -- William Shelley and Billy Lovelady.
LJ035-0128|If her estimate of time is correct, she reached the bottom of the stairs before Truly and Baker started up,|If her estimate of time is correct, she reached the bottom of the stairs before Truly and Baker started up,
LJ035-0129|and she must have run down the stairs ahead of Oswald and would probably have seen or heard him.|and she must have run down the stairs ahead of Oswald and would probably have seen or heard him.
LJ035-0130|Actually she noticed no one on the back stairs. If she descended from the fourth to the first floor as fast as she claimed in her testimony,|Actually she noticed no one on the back stairs. If she descended from the fourth to the first floor as fast as she claimed in her testimony,
LJ035-0131|she would have seen Baker or Truly on the first floor or on the stairs, unless they were already in the second-floor lunchroom talking to Oswald.|she would have seen Baker or Truly on the first floor or on the stairs, unless they were already in the second-floor lunchroom talking to Oswald.
LJ035-0132|When she reached the first floor, she actually saw Shelley and Lovelady slightly east of the east elevator.|When she reached the first floor, she actually saw Shelley and Lovelady slightly east of the east elevator.
LJ035-0133|Shelley and Lovelady, however, have testified|Shelley and Lovelady, however, have testified
LJ035-0134|that they were watching the parade from the top step of the building entrance when Gloria Calverly, who works in the Depository Building,|that they were watching the parade from the top step of the building entrance when Gloria Calverly, who works in the Depository Building,
LJ035-0135|ran up and said that the President had been shot.|ran up and said that the President had been shot.
LJ035-0136|Lovelady and Shelley moved out into the street.|Lovelady and Shelley moved out into the street.
LJ035-0137|About this time Shelley saw Truly and Patrolman Baker go into the building|About this time Shelley saw Truly and Patrolman Baker go into the building
LJ035-0138|Shelley and Lovelady, at a fast walk or trot, turned west into the railroad yards and then to the west side of the Depository Building.|Shelley and Lovelady, at a fast walk or trot, turned west into the railroad yards and then to the west side of the Depository Building.
LJ035-0139|They reentered the building by the rear door several minutes after Baker and Truly rushed through the front entrance.|They reentered the building by the rear door several minutes after Baker and Truly rushed through the front entrance.
LJ035-0140|On entering, Lovelady saw a girl on the first floor who he believes was Victoria Adams.|On entering, Lovelady saw a girl on the first floor who he believes was Victoria Adams.
LJ035-0141|If Miss Adams accurately recalled meeting Shelley and Lovelady when she reached the bottom of the stairs,|If Miss Adams accurately recalled meeting Shelley and Lovelady when she reached the bottom of the stairs,
LJ035-0142|then her estimate of the time when she descended from the fourth floor is incorrect,|then her estimate of the time when she descended from the fourth floor is incorrect,
LJ035-0143|and she actually came down the stairs several minutes after Oswald and after Truly and Baker as well.|and she actually came down the stairs several minutes after Oswald and after Truly and Baker as well.
